,datetime,power
144,2020-01-04 00:00:00,0.0
145,2020-01-04 00:30:00,0.0
146,2020-01-04 01:00:00,0.0
147,2020-01-04 01:30:00,0.0
148,2020-01-04 02:00:00,0.0
149,2020-01-04 02:30:00,0.0
150,2020-01-04 03:00:00,0.0
151,2020-01-04 03:30:00,0.0
152,2020-01-04 04:00:00,0.0
153,2020-01-04 04:30:00,0.0
154,2020-01-04 05:00:00,0.0
155,2020-01-04 05:30:00,0.0
156,2020-01-04 06:00:00,0.0
157,2020-01-04 06:30:00,71.9335
158,2020-01-04 07:00:00,143.86700000000002
159,2020-01-04 07:30:00,516.5245
160,2020-01-04 08:00:00,889.182
161,2020-01-04 08:30:00,1210.792
162,2020-01-04 09:00:00,1532.402
163,2020-01-04 09:30:00,1793.3845
164,2020-01-04 10:00:00,2054.367
165,2020-01-04 10:30:00,2153.6685
166,2020-01-04 11:00:00,2252.97
167,2020-01-04 11:30:00,2191.054
168,2020-01-04 12:00:00,2129.138
169,2020-01-04 12:30:00,1930.866
170,2020-01-04 13:00:00,1732.594
171,2020-01-04 13:30:00,1474.302
172,2020-01-04 14:00:00,1216.01
173,2020-01-04 14:30:00,817.918
174,2020-01-04 15:00:00,419.826
175,2020-01-04 15:30:00,213.4935
176,2020-01-04 16:00:00,7.1610000000000005
177,2020-01-04 16:30:00,3.5805
178,2020-01-04 17:00:00,0.0
179,2020-01-04 17:30:00,0.0
180,2020-01-04 18:00:00,0.0
181,2020-01-04 18:30:00,0.0
182,2020-01-04 19:00:00,0.0
183,2020-01-04 19:30:00,0.0
184,2020-01-04 20:00:00,0.0
185,2020-01-04 20:30:00,0.0
186,2020-01-04 21:00:00,0.0
187,2020-01-04 21:30:00,0.0
188,2020-01-04 22:00:00,0.0
189,2020-01-04 22:30:00,0.0
190,2020-01-04 23:00:00,0.0
191,2020-01-04 23:30:00,0.0
192,2020-01-05 00:00:00,0.0
193,2020-01-05 00:30:00,0.0
194,2020-01-05 01:00:00,0.0
195,2020-01-05 01:30:00,0.0
196,2020-01-05 02:00:00,0.0
197,2020-01-05 02:30:00,0.0
198,2020-01-05 03:00:00,0.0
199,2020-01-05 03:30:00,0.0
200,2020-01-05 04:00:00,0.0
201,2020-01-05 04:30:00,0.0
202,2020-01-05 05:00:00,0.0
203,2020-01-05 05:30:00,0.0
204,2020-01-05 06:00:00,0.0
205,2020-01-05 06:30:00,10.7775
206,2020-01-05 07:00:00,21.555
207,2020-01-05 07:30:00,94.791
208,2020-01-05 08:00:00,168.02700000000002
209,2020-01-05 08:30:00,247.83
210,2020-01-05 09:00:00,327.633
211,2020-01-05 09:30:00,476.25
212,2020-01-05 10:00:00,624.867
213,2020-01-05 10:30:00,552.004
214,2020-01-05 11:00:00,479.141
215,2020-01-05 11:30:00,468.7235
216,2020-01-05 12:00:00,458.306
217,2020-01-05 12:30:00,486.293
218,2020-01-05 13:00:00,514.28
219,2020-01-05 13:30:00,642.589
220,2020-01-05 14:00:00,770.898
221,2020-01-05 14:30:00,583.122
222,2020-01-05 15:00:00,395.346
223,2020-01-05 15:30:00,201.164
224,2020-01-05 16:00:00,6.982
225,2020-01-05 16:30:00,3.491
226,2020-01-05 17:00:00,0.0
227,2020-01-05 17:30:00,0.0
228,2020-01-05 18:00:00,0.0
229,2020-01-05 18:30:00,0.0
230,2020-01-05 19:00:00,0.0
231,2020-01-05 19:30:00,0.0
232,2020-01-05 20:00:00,0.0
233,2020-01-05 20:30:00,0.0
234,2020-01-05 21:00:00,0.0
235,2020-01-05 21:30:00,0.0
236,2020-01-05 22:00:00,0.0
237,2020-01-05 22:30:00,0.0
238,2020-01-05 23:00:00,0.0
239,2020-01-05 23:30:00,0.0
240,2020-01-06 00:00:00,0.0
241,2020-01-06 00:30:00,0.0
242,2020-01-06 01:00:00,0.0
243,2020-01-06 01:30:00,0.0
244,2020-01-06 02:00:00,0.0
245,2020-01-06 02:30:00,0.0
246,2020-01-06 03:00:00,0.0
247,2020-01-06 03:30:00,0.0
248,2020-01-06 04:00:00,0.0
249,2020-01-06 04:30:00,0.0
250,2020-01-06 05:00:00,0.0
251,2020-01-06 05:30:00,0.0
252,2020-01-06 06:00:00,0.0
253,2020-01-06 06:30:00,10.227
254,2020-01-06 07:00:00,20.454
255,2020-01-06 07:30:00,102.741
256,2020-01-06 08:00:00,185.028
257,2020-01-06 08:30:00,272.202
258,2020-01-06 09:00:00,359.376
